state,ph,ocd,clay,sand,silt,bd
New Mexico,76.18528435313435,147.47884669105034,249.0824119222687,450.3396466690295,300.5778534982375,1.473908515620274
South Dakota,70.88999795350229,255.94336656618842,346.238032401266,229.93834207587534,423.8232993896954,1.4818673075587996
California,69.4130240581291,198.4496767369434,212.59111773269993,470.4580587875666,316.9505876603027,1.3920530128104138
Kentucky,54.98215412785204,237.31392992885034,275.7677488989983,176.39848246201004,547.8337321702198,1.460274006521983
Alabama,52.94632191869391,206.3641574270625,252.67244006658595,403.35737523350616,343.9699804628908,1.5331812629683865
Georgia,52.1573374859398,209.47149662226695,196.65297859263393,590.7735257868761,212.57307340522325,1.5136927970916902
Arkansas,55.24680361820095,206.6494864390685,234.08650064221243,254.67679910739815,511.23695522321464,1.522095073839603
Pennsylvania,51.93218870541469,267.8065586153296,230.39312467964737,302.28205479099285,467.3248246881652,1.373951933661582
Missouri,59.42748235680158,228.48127595883045,275.0500786582937,155.42735492369133,569.5224350369278,1.5018237596594135
Colorado,70.53591667016424,205.39407505949367,252.6066774016195,392.8962899361391,354.4971066645116,1.3994021822168912
Utah,76.93314393827437,160.380821147631,236.72394899264506,414.0389999364821,349.2372327822862,1.4021054698111572
Oklahoma,64.71015475688951,197.30050128575894,251.80721592367186,325.3630513624446,422.82966705737033,1.5585487097485202
Tennessee,54.30511627649964,216.96067296276553,267.9233782035473,217.93374320794697,514.1432365645118,1.4582223684216817
Wyoming,72.33971902325075,189.72159049608956,253.84872902605994,399.1549122823265,346.9962272005745,1.4163362226404126
New York,53.92004720074125,318.7593624489228,201.84621430530368,357.7521556787894,440.40171787182504,1.2715051216831337
Indiana,61.049571592933766,239.979219498161,274.2789987059883,229.97460777323823,495.7458864214663,1.5518340445762797
Kansas,67.72105909484495,224.86547097854947,319.93290078734196,196.65637058163185,483.4107167025759,1.5339895900987053
Idaho,67.7685076960553,228.67386699940627,198.79246184603028,342.85428801231683,458.35329018982003,1.2400135883351069
Nevada,78.75225806977551,114.94332928913387,202.88040152187358,457.59020990383937,339.52919410260984,1.4014499526540993
Illinois,61.19095959198434,256.85182858902783,301.0943776266339,109.29230636229562,589.6133357441164,1.5104707444456253
Minnesota,63.54474501732157,300.72640488801625,231.71166922951963,413.2243254548792,355.0643033846284,1.4024208337643536
Iowa,63.457897564571915,286.8525652469787,333.1852194571519,152.9762075236528,513.8386094163169,1.507928603933681
South Carolina,51.48621674888016,241.2096116301189,245.19037811361588,475.17093084314456,279.6386172780166,1.5411767459779426
Delaware,51.643572377067144,234.47446325284284,163.29712464234842,469.97542920227,366.7269507660481,1.5170656741175415
Michigan,57.814000887407865,258.6101461986424,175.99753239666745,514.6474303530966,309.3549273654651,1.4395619443217365
Florida,54.930191143733296,202.17036060681428,81.70794377332362,818.7610675182478,99.53131381212962,1.3487784238570757
New Jersey,50.36424365622033,263.37786777355103,146.8894678790603,513.3915300706998,339.71886679026403,1.424955110114907
North Dakota,71.72715657985927,301.2425477014155,294.0333276140712,334.88121482880535,371.08571951364655,1.4216299314421852
Maryland,52.08808121090062,247.67438795351634,217.8427531952392,356.20179094509075,425.9559540904065,1.4611784782995025
Montana,69.57253972100267,222.04902620579318,287.21634139594204,304.0462321067759,408.73747156278586,1.3758377670421762
Arizona,76.12933127904888,115.10060722827178,224.33635443936157,486.5409143694543,289.1228419244029,1.4913526891338964
Nebraska,68.11810207992536,212.04317553431085,245.60397523847095,381.197268042264,373.19862217989146,1.493672196716008
Washington,60.83902368408523,278.5242182700057,144.2819689870337,412.66543755525646,443.0521928782067,1.1547823268581572
Texas,71.16766132885687,181.3422484468806,284.7338422387045,375.15111205221524,340.11510100725815,1.571191501055873
Ohio,59.837800741421056,253.28602870694195,304.8360366396269,190.301656455775,504.8625032411206,1.5190747868799626
Wisconsin,57.23710825834103,233.4204430433211,204.00148219223587,347.8711278041353,448.1273501406016,1.4151119804150318
Oregon,64.94229181384294,246.29959488444632,229.17629171131048,357.80671337897877,413.0168621500608,1.2142679668438425
Mississippi,54.94548102504397,194.38727818642803,304.89410044343373,201.22102760124537,493.8846261406065,1.5395484060175644
North Carolina,51.04431568817843,249.97445142845677,214.37943838063504,445.5153743107574,340.10517047096766,1.4783052999932473
Virginia,52.27950940657738,240.68241585659308,255.21059606480338,349.239183120002,395.55053460722496,1.447000334419248
West Virginia,49.982636885227734,281.4189992701203,260.36904761019974,269.19410380459993,470.4371816746791,1.3549591509924324
Louisiana,55.798232624316185,221.17626377578804,287.17081939864414,222.70513250322512,490.12386003044935,1.5247436916814534
